,,,,,Sales Team,Split %,,,,,,,,,,,,,,,,,,,,,,,,
Customer:,Gannett Power/ Storage,,,CE 1:,,0%,,,,,,EU DISC,CDW DISC, Special Bid # ,,,,,,,,,,,,,,,,
Opportunity:,,,,CE 2:,,0%,,,,,HMC,21.73%,25.12%,10578036,,,,,,,,,,,,,,,,
Approval #,,,,Specialist 1:,,0%,,,,,RACK,34.78%,37.60%,10578036,,,,,,,,,,,,,,,,
,,,,Specialist 2:,,0%,,,,,SERVER,31.26%,36.23%,10578036,,,,,,,,,,,,,,,,
,,,,,,0%,,,,,SW - VSPP,31.26%,39.23%,10578036,,,,,,,,,,,,,,,,
Hardware and Software Product Section,,,,,,,,,,,NON-VSPP,20.00%,25.12%,10578036,,,,,,,,,,,,,,,,
Machine/Model,Description,Qty,Unit List Price,Total List Price,End User Discount,Customer Price,Sirius Discount,Sirius Cost,Profit,Margin,DS8,86.00%,88.88%,10659087,,,,,,,,,,,,,,,,
7063-CR2,,2," $14,206 ","$28,412",21.73%,"$22,238",25.12%,"$21,275 ",$963 ,4.33%,,,,,,,,,,,,,,,,,,,,
7316-TF5,,2," $3,309 ","$6,618",34.78%,"$4,316",37.60%,"$4,130 ",$187 ,4.32%,,,,,,,,,,,,,,,,,,,,
5773-RS3,,2," $1,215 ","$2,430",21.73%,"$1,902",25.12%,"$1,820 ",$82 ,4.33%,,,,,,,,,,,,,,,,,,,,
9009-42A,,1," $3,89,406 ","$3,89,406",31.26%,"$2,67,678",36.23%,"$2,48,324 ","$19,353 ",7.23%,5250 RPQ,,,,,,,,,,,,,,,,,,,
9676-A03,,1," $9,985 ","$9,985",31.26%,"$6,864",36.23%,"$6,368 ",$496 ,7.23%,,,,,,,,,,,,,,,,,,,,
VSPP SW,,1," $1,73,005 ","$1,73,005",31.26%,"$1,18,924",39.23%,"$1,05,135 ","$13,788 ",11.59%,,,,,,,,,,,,,,,,,,,,
5774-CMT,,2," $2,160 ","$4,320",20.00%,"$3,456",25.12%,"$3,235 ",$221 ,6.40%,,,,,,,,,,,,,,,,,,,,
9105-42A,,1," $4,04,106 ","$4,04,106",31.26%,"$2,77,782",36.23%,"$2,57,698 ","$20,084 ",7.23%,5250 RPQ,,,,,,,,,,,,,,,,,,,
9676-A03,,1," $10,352.65 ","$10,353",31.26%,"$7,116",36.23%,"$6,602 ",$515 ,7.23%,,,,,,,,,,,,,,,,,,,,
VSPP SW,,1," $2,72,625 ","$2,72,625",31.26%,"$1,87,402",39.23%,"$1,65,674 ","$21,728 ",11.59%,,,,,,,,,,,,,,,,,,,,
5341-994,,2," $23,49,600 ","$46,99,200",86.00%,"$6,57,888",88.88%,"$5,22,551 ","$1,35,337 ",20.57%,,,,,,,,,,,,,,,,,,,,
5131-P03,,2," $7,04,880 ","$14,09,760",86.00%,"$1,97,366",88.88%,"$1,56,765 ","$40,601 ",20.57%,,,,,,,,,,,,,,,,,,,,
5131-P03,,2," $91,500 ","$1,83,000",86.00%,"$25,620",88.88%,"$20,350 ","$5,270 ",20.57%,,,,,,,,,,,,,,,,,,,,
9031-FF8,,2," $3,05,000 ","$6,10,000",86.00%,"$85,400",88.88%,"$67,832 ","$17,568 ",20.57%,,,,,,,,,,,,,,,,,,,,
,,,,$0,,$0,,$0 ,$0 ,#DIV/0!,,,,,,,,,,,,,,,,,,,,
,,,,$0,,$0,,$0 ,$0 ,#DIV/0!,,,,,,,,,,,,,,,,,,,,
,,,,$0,,$0,,$0 ,$0 ,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Hardware & Software Total:,,,,"$82,03,220",,"$18,63,953",,"$15,87,758 ","$2,76,195 ",14.82%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maintenance, Services & Incentives Sections Section",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine/Model,Description,Qyt,Unit/Sirius Ref. Price,Total List/Ref. Price,End User Discount,Customer Price,Sirius Discount,Sirius Cost,Profit,Margin,,,,,,,,,,,,,,,,,,,,
Sirius Services,Implementation,1.00,"3,00,000.00","$3,00,000",-120.00%,"$6,60,000",30.00%,"$2,10,000 ","$4,50,000 ",68.18%," ₹3,30,000.00 ",,,,,,,,,,,,,,,,,,,
Cisco Maintenance,,1.00,"3,392.00","$3,392",0.00%,"$2,375",,,"$2,375 ",100.00%,,,,,,,,,,,,,,,,,,,,
Presales,,250.00,693.48,"$1,73,370",,"$1,73,370",,$0 ,"$1,73,370 ",100.00%,,,,,,,,,,,,,,,,,,,,
,,,,$0,,$0,,$0 ,$0 ,#DIV/0!,,,,,,,,,,,,,,,,,,,,
Promotions,,,,$0,,$0,,$0 ,$0 ,#DIV/0!,,,,,,,,,,,,,,,,,,,,
,,,,$0,,$0,,$0 ,$0 ,#DIV/0!,,,,,,,,,,,,,,,,,,,,
,,,,$0,,$0,,$0 ,$0 ,#DIV/0!,,,,,,,,,,,,,,,,,,,,
,,,,$0,,$0,,$0 ,$0 ,#DIV/0!,,,,,,,,,,,,,,,,,,,,
"Main., Services & Incentives Total:",,,,"$4,76,762",,"$8,35,745",,"$2,10,000 ","$6,25,745 ",74.87%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solution Total:,,,,"$86,79,982",,"$26,99,698",,"$17,97,758","$9,01,940",33.41%,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Purchase Authorization Price:,,"$26,99,698.44",,,,,,,,,,,,,,,,,,,,,,,,
,,,,Balance:,,$0,0.00,350    ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.00,8.75,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sturcturing Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
