,,,,,Sales Team,Split %,,,,,,,
Customer:,,,,CE 1:,,0%,,,,,,,
Opportunity:,,,,CE 2:,,0%,,,,,,,
Approval #,,,,Specialist 1:,,0%,,,,,,,
,,,,Specialist 2:,,0%,,,,,,,
,,,,,,0%,,,,,,,
Hardware and Software Product Section,,,,,,,,,,,,,
Machine/Model,Description,Qty,Unit List Price,Total List Price,End User Discount,Customer Price,Sirius Discount,Sirius Cost,Profit,Margin,,,
9105-42A,Quantity = 1,1,"$2,24,888.00","$2,24,888",44.00%,"$1,25,937",50.50%,"$1,11,320 ","$14,618 ",11.61%,"$4,08,246",,
5692-A6P,,1,$350.00,$350,0.00%,$350,0.00%,$350 ,$0 ,0.00%,,,
5733-ITL,,1,"$30,360.00","$30,360",21.43%,"$23,854",31.36%,"$20,839 ","$3,015 ",12.64%,,,
5733-SP5,,1,"$99,900.00","$99,900",54.64%,"$45,315",59.91%,"$40,050 ","$5,265 ",11.62%,,,
5770-SS1,,1,"$18,000.00","$18,000",54.64%,"$8,165",59.91%,"$7,216 ",$949 ,11.62%,,,
5775-PVE,,1,"$15,408.00","$15,408",54.64%,"$6,989",59.91%,"$6,177 ",$812 ,11.62%,,,
9676-A05,,1,"$19,340.37","$19,340",44.00%,"$10,831",50.50%,"$9,573 ","$1,257 ",11.61%,,,
9105-22B,Quantity = 1,1,"$69,993.00","$69,993",38.00%,"$43,396",45.19%,"$38,363 ","$5,032 ",11.60%,"$1,16,108",,
9675-A05,,1,"$7,629.24","$7,629",38.00%,"$4,730",45.19%,"$4,182 ",$549 ,11.60%,,,
5692-A6P,,1,$350.00,$350,0.00%,$350,0.00%,$350 ,$0 ,0.00%,,,
5770-SS1,,1,"$27,000.00","$27,000",54.64%,"$12,247",59.91%,"$10,824 ","$1,423 ",11.62%,,,
5733-SP5,,1,"$6,000.00","$6,000",54.64%,"$2,722",59.91%,"$2,405 ",$316 ,11.62%,,,
5775-PVE,,1,"$5,136.00","$5,136",54.64%,"$2,330",59.91%,"$2,059 ",$271 ,11.62%,,,
9105-22A,Quantity = 2,2,"$1,12,882.00","$2,25,764",44.00%,"$1,26,428",50.50%,"$1,11,753 ","$14,675 ",11.61%,"$4,02,610",,
